********   ARAGON PHOTONICS LABS   ********

Component Analyzer
43588 Points
Smooth 10e-3 GHz
Mode Pol.: Lin 0
#Average 0
Lock Trace Off
Hold Trace None
12/5/2023 11:13:27 PM

Frequency(GHz),P(dBm)
191560.683909811,-35.537148637004
191560.784380165,-35.5319390521105
191560.884850624,-35.5172587482627
191560.985321189,-35.5063659778152
191561.085791859,-35.4992632513428
191561.186262634,-35.4931127411386
191561.286733515,-35.4897912757052
191561.387204502,-35.4807991720427
191561.487675593,-35.4793758659797
191561.58814679,-35.4755908395203
191561.688618093,-35.4703812520079
191561.7890895,-35.4656440083922
191561.889561014,-35.4651704094981
191561.990032632,-35.4642181926019
191562.090504356,-35.4656440083918
191562.190976185,-35.4637395745907
191562.29144812,-35.4675321300713
191562.39192016,-35.4656302058368
191562.492392306,-35.4679969455
191562.592864557,-35.4732027687725
191562.693336913,-35.4769877952772
191562.793809375,-35.4803029871815
191562.894281942,-35.488347893208
191562.994754614,-35.4864560075453
191563.095227392,-35.4954506203068
191563.195700276,-35.4997117544497
191563.296173264,-35.5072855700342
191563.396646358,-35.5082302579118
191563.497119558,-35.5082302579118
191563.597592863,-35.5072805508638
191563.698066273,-35.5082315127044
191563.798539789,-35.5063358629816
191563.89901341,-35.5053936846706
191563.999487136,-35.502077238656
191564.099960968,-35.501602385111
191564.200434905,-35.4982871937823
191564.300908948,-35.4992318817297
191564.401383096,-35.4978161045949
191564.501857349,-35.4959179451292
191564.602331708,-35.4902410336338
191564.702806172,-35.4892875620799
191564.803280742,-35.4873944216482
191564.903755417,-35.4793382224474
191565.004230197,-35.4727065837073
191565.104705083,-35.4712845323058
191565.205180074,-35.4755444124847
191565.305655171,-35.4783910247641
191565.406130373,-35.4845440451992
191565.50660568,-35.4907108680566
191565.607081093,-35.4978123402156
191565.707556611,-35.5082352770613
191565.808032235,-35.5200752447046
191565.908507964,-35.5342844591464
191566.008983798,-35.5470741309831
191566.109459738,-35.5622280297213
191566.209935783,-35.5764435131395
191566.310411934,-35.5911187906293
191566.41088819,-35.6110136862979
191566.511364551,-35.6271135186931
191566.611841018,-35.6503185764403
191566.71231759,-35.6773124141451
191566.812794268,-35.6953041198842
191566.913271051,-35.7170933896116
191567.013747939,-35.7360322848552
191567.114224933,-35.7587662328182
191567.214702032,-35.7800718546484
191567.315179237,-35.8018560892245
191567.415656547,-35.8207962252603
191567.516133962,-35.8416332572758
191567.616611483,-35.8591563591235
191567.717089109,-35.8752549021402
191567.817566841,-35.8989410357214
191567.918044678,-35.9197767984465
191568.01852262,-35.9406175764216
191568.119000668,-35.9491435762467
191568.219478821,-35.9619332021432
191568.31995708,-35.9718825003939
191568.420435444,-35.9823016301491
191568.520913913,-35.9936742263288
191568.621392488,-36.0003045804257
191568.721871168,-36.010732490951
191568.822349954,-36.014992351259
191568.922828845,-36.0145212641752
191569.023307841,-36.0168879925935
191569.123786943,-36.0154646931189
191569.22426615,-36.0088368495056
191569.324745463,-36.0059877407571
191569.425224881,-36.0040958635791
191569.525704404,-35.9960346812693
191569.626184033,-35.9870413622659
191569.726663767,-35.9789801786789
191569.827143607,-35.9780329850763
191569.927623552,-35.9728284392731
191570.028103602,-35.9671427676367
191570.128583758,-35.9543606710949
191570.22906402,-35.9458321621045
191570.329544386,-35.9373124359727
191570.430024858,-35.9259398339655
191570.530505436,-35.912209283696
191570.630986119,-35.9060500118327
191570.731466907,-35.8956308748873
191570.831947801,-35.8923156947464
191570.9324288,-35.8904162868854
191571.032909904,-35.8809481072887
191571.133391114,-35.8733655323723
191571.23387243,-35.86484454592
191571.33435385,-35.8619991977898
191571.434835377,-35.8525272514283
191571.535317008,-35.8440012442267
191571.635798745,-35.8383130564155
191571.736280587,-35.8364186668086
191571.836762535,-35.8345192579792
191571.937244588,-35.8354689623992
191572.037726747,-35.829777009739
191572.138209011,-35.8274090225467
191572.23869138,-35.8222007053479
191572.339173855,-35.8184119255629
191572.439656436,-35.8188892874451
191572.540139121,-35.8075191829794
191572.640621912,-35.8018397769256
191572.741104809,-35.803730402707
